"vanus";"pikkus";"kaal";"sugu"
"1";1,48685379747034;77;11,6;"N"
"2";0,65713619537914;66;8,6;"N"
"3";0,438869223595331;63,5;7,6;"N"
"4";0,343385743179749;59,5;5,8;"N"
"5";0,196274557541165;55;5,1;"N"
"6";0,0837560391638678;53,5;4,3;"N"
"7";0,0411;51;3,7;"N"
"9";1,29087659040899;76,5;10,5;"N"
"13";0,730823075766853;76;10,2;"N"
"14";0,559623608107562;70;9,2;"N"
"17";0,224785269557274;63,9;7,2;"N"
"18";0,196453318926206;63;6,2;"N"
"20";0,842661574570797;76;11;"N"
"22";0,107255615617755;53;4,2;"N"
"23";0,203895347691703;55,5;5,3;"N"
"25";0,328166502164205;62;6,9;"N"
"26";0,445112239476883;65;7;"N"
"27";0,536585089722209;66;8;"N"
"28";0,757228965089388;66,5;8,6;"N"
"29";0,789129087344756;71;9,2;"N"
"31";0,934908089350323;74;9,4;"N"
"32";1,00780370399670;75;9,6;"N"
"33";1,50086682923388;79;10,7;"N"
"34";2,01501748897241;83;12;"N"
"35";0,959597171364967;74;10,3;"N"
"36";0,744177789026866;71,5;9,5;"N"
"37";0,523550415780321;69;9,5;"N"
"38";0,204477759794373;59;6,4;"N"
"39";0,0686614322963072;54;4,8;"N"
"40";0,563417672341092;73,5;10;"M"
"41";0,0433614434930735;55,5;4,8;"M"
"42";0,215208459971142;64;7,5;"M"
"43";1,03974392826684;81;12,8;"M"
"44";0,735107208075495;80;11,8;"M"
"45";0,738185371903879;77;10,6;"M"
"47";0,48294149282451;72;8,4;"M"
"48";0,295263991360668;63;6,7;"M"
"49";0,0936050098666172;55,5;5,6;"N"
"50";0,144329838779686;60;6;"N"
"51";0,497859378377165;66;8,4;"N"
"52";0,609565285254687;68;9,2;"N"
"53";1,02160945385268;77;13;"N"
"56";0,919716308523906;72;9,8;"M"
"57";0,718903478549143;70,5;9,9;"M"
"59";0,542235614127867;70;10,7;"M"
"60";0,352031207204094;64;8;"M"
"61";0,252533832067443;62;6,7;"M"
"62";0,198839796573903;59,5;5,8;"M"
"63";0,063644785304432;54;4,2;"M"
"64";1,90150880459609;96,5;13,8;"M"
"65";1,03731158989030;77;9,8;"M"
"66";0,796524527508275;74;9,6;"M"
"68";0,584333410370997;72;9;"M"
"70";0,499368460227407;69;8,2;"M"
"72";0,309830516294698;65;6,5;"M"
"73";0,160536607016757;62;5,8;"M"
"74";0,107314645131146;59;4,7;"M"
"75";1,05284019516732;76,5;9,4;"M"
"76";0,775444495745343;74;9;"M"
"77";0,738413163444559;71;9,2;"M"
"79";0,547357730927299;69;8,9;"M"
"82";0,395652209205371;63;8,4;"M"
"83";0,227549586702019;60;6,7;"M"
"84";0,083992152594403;58,4;5,9;"M"
"85";0,0411;55;4,9;"M"
"87";1,44374756420762;81;10,9;"M"
"88";1,21050497371221;80;10,7;"M"
"89";0,955833494817727;78,5;9,7;"M"
"91";0,835289098644839;75;9,1;"M"
"92";0,779469216449799;72,5;8,9;"M"
"93";0,634150593185559;72;8,6;"M"
"94";0,658029540311646;71;8,3;"M"
"95";0,368639154535634;67;7,4;"M"
"96";0,424390843986032;66;7,1;"M"
"97";0,267010084687274;63;6,3;"M"
"98";0,0811509249508083;58,9;4,7;"M"
"99";0,134742781777665;55;4,4;"M"
"102";0,200731664060254;61,5;6,9;"M"
"103";0,323905832886989;64;7,8;"M"
"104";0,387532996692872;65;8,6;"M"
"105";0,583011241816046;67;9,6;"M"
"106";1,07063400781924;78,5;10,8;"M"
"107";0,687227265306388;73;10,3;"M"
"108";0,125015207948825;57;5,7;"M"
"109";0,328967876823291;60;6;"N"
"110";0,414139146231754;64;6,9;"N"
"111";0,68251006554265;64;7,3;"N"
"112";0,101636658473404;54;4,2;"N"
"114";0,891532315707729;69;8,1;"N"
"115";0,673573603750194;67;8;"N"
"116";1,54856282923885;78;9,8;"N"
"117";1,22146685918636;75;9,2;"N"
"118";1,08465417161562;70;7,9;"N"
"119";0,132811103029392;57;5,1;"N"
"120";0,0874092353548577;56;5,1;"M"
"121";0,175299376669000;58,5;6;"M"
"122";0,296657220744713;62,5;6,5;"M"
"123";0,364207673219337;63,5;6,7;"M"
"124";0,721853829705588;68,5;7,7;"M"
"125";1,09751573537680;76,5;11,1;"N"
"126";0,96782351808223;73;10,9;"N"
"127";0,639068158386736;67;9,2;"N"
"128";0,441062908998597;66;7,7;"N"
"129";0,309083461294028;61;5,7;"N"
"131";0,0872712831192456;56,5;4,7;"N"
"133";0,382125354038261;64;6,9;"N"
"134";0,39962807360909;65;7,9;"N"
"135";1,82946085387750;85;12;"N"
"136";1,17743142434497;77;11;"N"
"137";0,337897873884181;65;7,7;"N"
"138";0,909692601721332;75;10,4;"N"
"140";0,508175700888118;68;9;"N"
"141";0,281128258560983;63;7,1;"N"
"142";0,220771225237413;61;6,6;"N"
"145";0,658882921631786;75,5;11;"M"
"146";0,607856114840149;75;10,2;"M"
"149";0,309986880064663;68;8,8;"M"
"150";0,122239165703001;65;6,6;"M"
"151";0,0800039047824818;59,5;5,3;"M"
"152";0,295878601986821;65;7,9;"M"
"153";0,151219626360864;52,6;3,3;"N"
"155";0,252148292309390;59;5,8;"N"
"157";0,655968418884916;69;9,2;"N"
"158";0,834470775962558;75;9,1;"N"
"160";1,94092578591932;88;11,5;"N"
"161";0,0689171102887493;54;4,4;"N"
"163";0,509252587084565;66;8;"N"
"164";0,529312113849343;66;8,5;"N"
"165";0,511506673480929;68,5;8;"N"
"166";0,765871325376105;68,5;8,2;"N"
"167";0,77491010771718;72;10;"N"
"168";0,95261773322269;72,5;10,9;"N"
"169";1,09920917601829;77;11,1;"N"
"171";0,375372686515001;65;6,6;"N"
"172";0,244063447332010;62;5;"N"
"173";0,144269864164326;56,5;4,8;"N"
"174";0,09882349229724;54;4,2;"N"
"177";1,75481757065663;87;12,4;"N"
"178";1,59564963990248;84;11;"N"
"179";1,01558563141367;76;9,3;"N"
"180";0,843098670623285;73;9,2;"N"
"181";0,760003893663121;70,5;8,5;"N"
"182";0,115472291213115;52;4,1;"N"
"183";0,254675761857333;54,6;4,9;"N"
"184";0,257226627363829;59;5,5;"N"
"185";0,347221940543229;60,5;6,1;"N"
"188";0,515200501026433;66;6,8;"N"
"189";1,48153803688324;78;10,6;"N"
"190";1,38351397552602;76;10,2;"N"
"192";0,98831681158281;74;9,2;"N"
"193";0,897181595646715;73;9,7;"N"
"195";0,178624562826696;57;4,8;"N"
"196";0,387368734120267;62;6,5;"N"
"197";0,445411262735189;65;7,3;"N"
"198";0,556616691269668;67;8;"N"
"199";0,718124600984118;69;8,4;"N"
"201";0,789876522861336;73,5;9,4;"N"
"202";2,06059974377261;92,5;14,4;"M"
"203";0,271981039230493;62;6,7;"M"
"204";0,431711679483358;68;8,2;"M"
